,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale
output_new96Cp540_L6G-32_Wael_S,392,-64.31118375823495,30.420106419183433,23.427543232588427,4.1944225068015264e-11,4.819709551481598e-11,0.0,True,log
output_new96Cp33_L6G-47_Wael_S,393,-64.3127824779339,64.64885182206075,23.429141952287374,4.1877221583336596e-11,7.687091106099112e-12,0.0,True,log
output_new96Cp420_ICE6G_Wael_T,394,-64.32797698338615,49.0792755869472,23.44433645773963,4.124572767992842e-11,2.175780039296593e-11,0.0,True,log
output_new71Cp540_Colleoni_Wael_T,395,-64.46614508156858,31.109506945204885,23.582504555922064,3.5923060313380476e-11,1.6433871975189827e-11,0.0,True,log
output_new71Cp510_L6G_Wael_S,396,-64.48064327783726,44.587226490112414,23.59700275219074,3.54059980267345e-11,2.4683273076236734e-11,0.0,True,log
output_new71Cp530_L6G-32_Wael_S,397,-64.50493027078063,31.050625075273445,23.621289745134114,3.4556451032341406e-11,5.6332809830262274e-11,0.0,True,log
output_new71Cp315_L6G_Wael_S,398,-64.62648152376617,48.042268520182844,23.742840998119654,3.060131542080609e-11,4.474801839516999e-11,0.0,True,log
output_new71Cp53_L6G-47_Wael_S,399,-64.6277442231815,52.456881277076924,23.744103697534975,3.056269954296374e-11,1.8773520924733802e-11,0.0,True,log
output_new96Cp515_Colleoni_Wael_T,400,-64.6393674172911,32.22610205709991,23.755726891644578,3.02095198677526e-11,6.546744448489947e-11,0.0,True,log
output_new96Cp420_Colleoni_Wael_T,401,-64.6497841215806,34.117578178785706,23.766143595934075,2.989646953961344e-11,3.952651078053569e-11,0.0,True,log
output_new71Cp430_Colleoni_Wael_T,402,-64.67390508812306,34.913291324469355,23.790264562476544,2.918396548679437e-11,1.6956629803675627e-13,0.0,True,log
output_new96Cp530_Colleoni_Wael_S,403,-64.8126040283241,38.50156740201775,23.928963502677583,2.540435182604808e-11,1.6616901247141744e-12,0.0,True,log
output_new71Cp530_Colleoni_Wael_T,404,-64.8184400717194,31.39948276392893,23.934799546072874,2.525652271452908e-11,2.1350827664528488e-11,0.0,True,log
output_new71Cp410_L6G_Wael_S,405,-64.89302435171547,45.37446713908186,24.009383826068948,2.3441317434941728e-11,3.498516128080503e-11,0.0,True,log
output_new96Cp440_L6G-32_Wael_S,406,-64.93095120963726,29.983175009347704,24.047310683990737,2.2568910322808892e-11,3.88728114649152e-11,0.0,True,log
